,instancia, otimo, solucao_gulosa, tempo_guloso, gap_guloso, solucao_vnd, tempo_vnd, gap_vnd, solucao_ils, tempo_ils, gap_ils,index,Solucoes otimas
0,n1000_k200_A.txt,,173.0,24737.0,,172.0,2092857.9,,169.0,108604686.0,,,
1,n1000_k200_B.txt,,173.0,25984.4,,172.0,2317594.9,,169.0,116572661.3,,,
2,n120_k150_A.txt,48.0,49.0,596.8,2.083333333333333,49.0,24947.4,2.083333333333333,49.0,1243404.3,2.083333333333333,n120_k150_A.txt,48.0
3,n120_k150_B.txt,48.0,50.0,579.2,4.166666666666666,49.0,33693.3,2.083333333333333,48.0,511838.5,0.0,n120_k150_B.txt,48.0
4,n30_k150_A.txt,12.0,13.0,109.1,8.333333333333332,13.0,1703.7,8.333333333333332,13.0,37542.6,8.333333333333332,n30_k150_A.txt,12.0
5,n30_k150_B.txt,12.0,13.0,116.7,8.333333333333332,13.0,1413.0,8.333333333333332,13.0,35781.5,8.333333333333332,n30_k150_B.txt,12.0
6,n30_k150_C.txt,13.0,14.0,122.4,7.6923076923076925,13.0,2482.1,0.0,13.0,36206.4,0.0,n30_k150_C.txt,13.0
7,n400_k200_A.txt,,69.0,4328.6,,69.0,195928.6,,68.0,7267030.2,,,
8,n400_k200_B.txt,,70.0,3403.1,,69.0,266886.3,,68.0,7740621.5,,,
9,n40_k150_A.txt,16.0,16.0,116.3,0.0,16.0,2017.1,0.0,16.0,62592.6,0.0,n40_k150_A.txt,16.0
10,n40_k150_B.txt,16.0,16.0,119.8,0.0,16.0,2000.0,0.0,16.0,62122.6,0.0,n40_k150_B.txt,16.0
11,n40_k150_C.txt,16.0,17.0,168.5,6.25,16.0,3839.2,0.0,16.0,76338.1,0.0,n40_k150_C.txt,16.0
12,n40_k200_A.txt,12.0,13.0,99.8,8.333333333333332,12.0,2448.7,0.0,12.0,47507.8,0.0,n40_k200_A.txt,12.0
13,n40_k200_B.txt,12.0,12.0,101.7,0.0,12.0,1775.2,0.0,12.0,53133.5,0.0,n40_k200_B.txt,12.0
14,n500_k200_A.txt,,87.0,5119.5,,87.0,336856.6,,85.0,15228103.1,,,
15,n500_k200_B.txt,,88.0,5029.9,,87.0,428441.7,,85.0,14927201.0,,,
16,n60_k130_A.txt,30.0,30.0,198.4,0.0,30.0,5228.1,0.0,30.0,209743.0,0.0,n60_k130_A.txt,30.0
17,n60_k130_B.txt,30.0,30.0,175.7,0.0,30.0,5472.7,0.0,30.0,209014.9,0.0,n60_k130_B.txt,30.0
18,n60_k130_C.txt,30.0,30.0,181.7,0.0,30.0,5618.7,0.0,30.0,216056.6,0.0,n60_k130_C.txt,30.0
19,n60_k150_A.txt,25.0,25.0,178.7,0.0,25.0,5118.6,0.0,25.0,196655.7,0.0,n60_k150_A.txt,25.0
20,n60_k150_B.txt,25.0,26.0,187.8,4.0,25.0,6288.0,0.0,25.0,182158.9,0.0,n60_k150_B.txt,25.0
21,n80_k130_A.txt,39.0,39.0,282.5,0.0,39.0,10549.9,0.0,39.0,460413.8,0.0,n80_k130_A.txt,39.0
22,n80_k130_B.txt,39.0,39.0,403.4,0.0,39.0,12446.5,0.0,39.0,520071.7,0.0,n80_k130_B.txt,39.0
23,n80_k130_C.txt,39.0,40.0,331.7,2.564102564102564,39.0,16114.0,0.0,39.0,480584.6,0.0,n80_k130_C.txt,39.0
