instancia, otimo, solucao_gulosa, tempo_guloso, gap_guloso, solucao_vnd, tempo_vnd, gap_vnd, solucao_ils, tempo_ils, gap_ils
"n400_k200_A.txt", -1, 69, 13151, -1, 69, 198759, -1, 68, 7247818, -1
"n400_k200_A.txt", -1, 69, 2903, -1, 69, 213651, -1, 68, 7449142, -1
"n400_k200_A.txt", -1, 69, 5954, -1, 69, 195919, -1, 68, 7163777, -1
"n400_k200_A.txt", -1, 69, 2822, -1, 69, 186058, -1, 68, 7196021, -1
"n400_k200_A.txt", -1, 69, 3136, -1, 69, 186599, -1, 68, 7116358, -1
"n400_k200_A.txt", -1, 69, 2896, -1, 69, 196566, -1, 68, 7327496, -1
"n400_k200_A.txt", -1, 69, 3197, -1, 69, 195473, -1, 68, 7230240, -1
"n400_k200_A.txt", -1, 69, 3186, -1, 69, 200819, -1, 68, 7287215, -1
"n400_k200_A.txt", -1, 69, 3191, -1, 69, 190969, -1, 68, 7269631, -1
"n400_k200_A.txt", -1, 69, 2850, -1, 69, 194473, -1, 68, 7382604, -1
"n120_k150_A.txt", -1, 49, 549, -1, 49, 24725, -1, 49, 1252578, -1
"n120_k150_A.txt", -1, 49, 558, -1, 49, 26346, -1, 49, 1239635, -1
"n120_k150_A.txt", -1, 49, 620, -1, 49, 25360, -1, 49, 1234911, -1
"n120_k150_A.txt", -1, 49, 565, -1, 49, 25197, -1, 49, 1232433, -1
"n120_k150_A.txt", -1, 49, 878, -1, 49, 24408, -1, 49, 1238744, -1
"n120_k150_A.txt", -1, 49, 528, -1, 49, 23905, -1, 49, 1235043, -1
"n120_k150_A.txt", -1, 49, 520, -1, 49, 23931, -1, 49, 1247379, -1
"n120_k150_A.txt", -1, 49, 539, -1, 49, 23812, -1, 49, 1233718, -1
"n120_k150_A.txt", -1, 49, 595, -1, 49, 27489, -1, 49, 1270300, -1
"n120_k150_A.txt", -1, 49, 616, -1, 49, 24301, -1, 49, 1249302, -1
"n80_k130_A.txt", -1, 39, 357, -1, 39, 10193, -1, 39, 460694, -1
"n80_k130_A.txt", -1, 39, 270, -1, 39, 10584, -1, 39, 461709, -1
"n80_k130_A.txt", -1, 39, 271, -1, 39, 10127, -1, 39, 460360, -1
"n80_k130_A.txt", -1, 39, 280, -1, 39, 10744, -1, 39, 453557, -1
"n80_k130_A.txt", -1, 39, 277, -1, 39, 11201, -1, 39, 459029, -1
"n80_k130_A.txt", -1, 39, 274, -1, 39, 10469, -1, 39, 461727, -1
"n80_k130_A.txt", -1, 39, 283, -1, 39, 10825, -1, 39, 460841, -1
"n80_k130_A.txt", -1, 39, 270, -1, 39, 10224, -1, 39, 467115, -1
"n80_k130_A.txt", -1, 39, 270, -1, 39, 10489, -1, 39, 464044, -1
"n80_k130_A.txt", -1, 39, 273, -1, 39, 10643, -1, 39, 455062, -1
"n60_k130_B.txt", -1, 30, 165, -1, 30, 5075, -1, 30, 207304, -1
"n60_k130_B.txt", -1, 30, 176, -1, 30, 4783, -1, 30, 206579, -1
"n60_k130_B.txt", -1, 30, 162, -1, 30, 4728, -1, 30, 205256, -1
"n60_k130_B.txt", -1, 30, 173, -1, 30, 7237, -1, 30, 214195, -1
"n60_k130_B.txt", -1, 30, 166, -1, 30, 7468, -1, 30, 211864, -1
"n60_k130_B.txt", -1, 30, 183, -1, 30, 4970, -1, 30, 209412, -1
"n60_k130_B.txt", -1, 30, 189, -1, 30, 5282, -1, 30, 209726, -1
"n60_k130_B.txt", -1, 30, 177, -1, 30, 5103, -1, 30, 213397, -1
"n60_k130_B.txt", -1, 30, 171, -1, 30, 4996, -1, 30, 207677, -1
"n60_k130_B.txt", -1, 30, 195, -1, 30, 5085, -1, 30, 204739, -1
"n40_k200_A.txt", -1, 13, 87, -1, 12, 2134, -1, 12, 48205, -1
"n40_k200_A.txt", -1, 13, 95, -1, 12, 2133, -1, 12, 44358, -1
"n40_k200_A.txt", -1, 13, 94, -1, 12, 2185, -1, 12, 45124, -1
"n40_k200_A.txt", -1, 13, 99, -1, 12, 2339, -1, 12, 46168, -1
"n40_k200_A.txt", -1, 13, 94, -1, 12, 2244, -1, 12, 48114, -1
"n40_k200_A.txt", -1, 13, 101, -1, 12, 2347, -1, 12, 51135, -1
"n40_k200_A.txt", -1, 13, 107, -1, 12, 2442, -1, 12, 48251, -1
"n40_k200_A.txt", -1, 13, 107, -1, 12, 2422, -1, 12, 48262, -1
"n40_k200_A.txt", -1, 13, 117, -1, 12, 2631, -1, 12, 47545, -1
"n40_k200_A.txt", -1, 13, 97, -1, 12, 3610, -1, 12, 47916, -1
"n40_k150_A.txt", -1, 16, 104, -1, 16, 2005, -1, 16, 64506, -1
"n40_k150_A.txt", -1, 16, 103, -1, 16, 2369, -1, 16, 63476, -1
"n40_k150_A.txt", -1, 16, 101, -1, 16, 1854, -1, 16, 61306, -1
"n40_k150_A.txt", -1, 16, 105, -1, 16, 1954, -1, 16, 61349, -1
"n40_k150_A.txt", -1, 16, 106, -1, 16, 1840, -1, 16, 61816, -1
"n40_k150_A.txt", -1, 16, 102, -1, 16, 2032, -1, 16, 61174, -1
"n40_k150_A.txt", -1, 16, 104, -1, 16, 1827, -1, 16, 61327, -1
"n40_k150_A.txt", -1, 16, 189, -1, 16, 2238, -1, 16, 64419, -1
"n40_k150_A.txt", -1, 16, 142, -1, 16, 1948, -1, 16, 64223, -1
"n40_k150_A.txt", -1, 16, 107, -1, 16, 2104, -1, 16, 62330, -1
"n30_k150_B.txt", -1, 13, 65, -1, 13, 1177, -1, 13, 33501, -1
"n30_k150_B.txt", -1, 13, 100, -1, 13, 1219, -1, 13, 35687, -1
"n30_k150_B.txt", -1, 13, 111, -1, 13, 1319, -1, 13, 36055, -1
"n30_k150_B.txt", -1, 13, 102, -1, 13, 1385, -1, 13, 35358, -1
"n30_k150_B.txt", -1, 13, 102, -1, 13, 1232, -1, 13, 35215, -1
"n30_k150_B.txt", -1, 13, 106, -1, 13, 1263, -1, 13, 35165, -1
"n30_k150_B.txt", -1, 13, 230, -1, 13, 1669, -1, 13, 34080, -1
"n30_k150_B.txt", -1, 13, 136, -1, 13, 2239, -1, 13, 37183, -1
"n30_k150_B.txt", -1, 13, 136, -1, 13, 1339, -1, 13, 37041, -1
"n30_k150_B.txt", -1, 13, 79, -1, 13, 1288, -1, 13, 38530, -1
"n40_k150_C.txt", -1, 17, 116, -1, 16, 2975, -1, 16, 64011, -1
"n40_k150_C.txt", -1, 17, 107, -1, 16, 2609, -1, 16, 56910, -1
"n40_k150_C.txt", -1, 17, 115, -1, 16, 2676, -1, 16, 95650, -1
"n40_k150_C.txt", -1, 17, 297, -1, 16, 5998, -1, 16, 86069, -1
"n40_k150_C.txt", -1, 17, 234, -1, 16, 5060, -1, 16, 103365, -1
"n40_k150_C.txt", -1, 17, 242, -1, 16, 4572, -1, 16, 98637, -1
"n40_k150_C.txt", -1, 17, 201, -1, 16, 4487, -1, 16, 73300, -1
"n40_k150_C.txt", -1, 17, 109, -1, 16, 3246, -1, 16, 63596, -1
"n40_k150_C.txt", -1, 17, 106, -1, 16, 3141, -1, 16, 61021, -1
"n40_k150_C.txt", -1, 17, 158, -1, 16, 3628, -1, 16, 60822, -1
"n60_k150_A.txt", -1, 25, 170, -1, 25, 7614, -1, 25, 202509, -1
"n60_k150_A.txt", -1, 25, 176, -1, 25, 4695, -1, 25, 197883, -1
"n60_k150_A.txt", -1, 25, 180, -1, 25, 4911, -1, 25, 199084, -1
"n60_k150_A.txt", -1, 25, 170, -1, 25, 4494, -1, 25, 196744, -1
"n60_k150_A.txt", -1, 25, 173, -1, 25, 4559, -1, 25, 201567, -1
"n60_k150_A.txt", -1, 25, 219, -1, 25, 4585, -1, 25, 198670, -1
"n60_k150_A.txt", -1, 25, 174, -1, 25, 4558, -1, 25, 194445, -1
"n60_k150_A.txt", -1, 25, 172, -1, 25, 4553, -1, 25, 191016, -1
"n60_k150_A.txt", -1, 25, 176, -1, 25, 6798, -1, 25, 194510, -1
"n60_k150_A.txt", -1, 25, 177, -1, 25, 4419, -1, 25, 190129, -1
"n60_k130_A.txt", -1, 30, 177, -1, 30, 5223, -1, 30, 207787, -1
"n60_k130_A.txt", -1, 30, 174, -1, 30, 4794, -1, 30, 209551, -1
"n60_k130_A.txt", -1, 30, 169, -1, 30, 6136, -1, 30, 206558, -1
